民國年,縣市,期作,收購類型,收購量(公噸)
100,新竹市,一期,計畫收購,354.9
100,新竹市,一期,輔導收購,178.2
100,新竹市,一期,餘糧收購,153.6
100,新竹市,二期,計畫收購,195.9
100,新竹市,二期,輔導收購,88.7
100,嘉義市,一期,計畫收購,1018.6
100,嘉義市,一期,輔導收購,292.2
100,嘉義市,一期,餘糧收購,7.2
100,嘉義市,二期,計畫收購,684.7
100,嘉義市,二期,輔導收購,257.1
100,嘉義市,二期,餘糧收購,37.8
101,新北市,一期,計畫收購,186.6
101,新北市,一期,輔導收購,96.0
101,新北市,一期,餘糧收購,83.7
101,臺中市,一期,計畫收購,17286.8
101,臺中市,一期,輔導收購,9323.9
101,臺中市,一期,餘糧收購,13368.8
101,臺中市,二期,計畫收購,11891.2
101,臺中市,二期,輔導收購,5740.4
101,臺中市,二期,餘糧收購,6781.1
101,臺南市,一期,計畫收購,13165.2
101,臺南市,一期,輔導收購,5189.9
101,臺南市,一期,餘糧收購,2363.6
101,臺南市,二期,計畫收購,8629.1
101,臺南市,二期,輔導收購,1319.4
101,臺南市,二期,餘糧收購,4.5
101,高雄市,一期,計畫收購,3039.0
101,高雄市,一期,輔導收購,1693.3
101,高雄市,一期,餘糧收購,1407.1
101,高雄市,二期,計畫收購,166.3
101,高雄市,二期,輔導收購,75.1
101,高雄市,二期,餘糧收購,100.5
101,宜蘭縣,一期,計畫收購,15210.7
101,宜蘭縣,一期,輔導收購,7154.0
101,宜蘭縣,一期,餘糧收購,4225.6
101,桃園縣,一期,計畫收購,10163.3
101,桃園縣,一期,輔導收購,5097.9
101,桃園縣,一期,餘糧收購,3006.7
101,桃園縣,二期,計畫收購,4241.3
101,桃園縣,二期,輔導收購,1941.5
101,桃園縣,二期,餘糧收購,1054.5
101,新竹縣,一期,計畫收購,5734.1
101,新竹縣,一期,輔導收購,3029.7
101,新竹縣,一期,餘糧收購,1306.8
101,新竹縣,二期,計畫收購,3536.5
101,新竹縣,二期,輔導收購,1627.9
101,新竹縣,二期,餘糧收購,417.0
101,苗栗縣,一期,計畫收購,8787.9
101,苗栗縣,一期,輔導收購,4873.9
101,苗栗縣,一期,餘糧收購,1846.8
101,苗栗縣,二期,計畫收購,5367.4
101,苗栗縣,二期,輔導收購,2659.9
101,苗栗縣,二期,餘糧收購,212.8
101,彰化縣,一期,計畫收購,21796.8
101,彰化縣,一期,輔導收購,7584.1
101,彰化縣,一期,餘糧收購,1876.0
101,彰化縣,二期,計畫收購,14036.6
101,彰化縣,二期,輔導收購,2681.8
101,彰化縣,二期,餘糧收購,307.3
101,南投縣,一期,計畫收購,1966.5
101,南投縣,一期,輔導收購,742.1
101,南投縣,一期,餘糧收購,468.1
