民國年,縣市,期作,產量_稻穀(公噸)
98,臺東縣,一期,34483.8
98,臺東縣,二期,29727.5
98,花蓮縣,一期,31214.3
98,花蓮縣,二期,36523.3
98,新竹市,一期,3946.5
98,新竹市,二期,2687.0
98,臺中市,一期,6633.1
98,臺中市,二期,5046.7
98,嘉義市,一期,5165.5
98,嘉義市,二期,3362.5
98,臺南市,一期,768.7
98,臺南市,二期,1250.8
99,臺北市,一期,1391.0
99,臺北市,二期,664.4
99,高雄市,一期,441.3
99,高雄市,二期,3.5
99,臺北縣,一期,992.2
99,臺北縣,二期,49.8
99,宜蘭縣,一期,61560.5
99,宜蘭縣,二期,12.0
99,桃園縣,一期,37042.7
99,桃園縣,二期,15877.9
99,新竹縣,一期,21890.3
99,新竹縣,二期,15126.8
99,苗栗縣,一期,29694.5
99,苗栗縣,二期,21984.4
99,臺中縣,一期,91738.3
99,臺中縣,二期,54918.2
99,彰化縣,一期,192763.6
99,彰化縣,二期,103036.9
99,南投縣,一期,17369.9
99,南投縣,二期,12086.1
99,雲林縣,一期,218318.1
99,雲林縣,二期,72107.8
99,嘉義縣,一期,77977.9
99,嘉義縣,二期,67712.7
99,臺南縣,一期,39675.5
99,臺南縣,二期,46198.3
99,高雄縣,一期,26898.5
99,高雄縣,二期,2201.3
99,屏東縣,一期,39044.5
99,屏東縣,二期,4576.9
99,臺東縣,一期,40157.3
99,臺東縣,二期,30923.0
99,花蓮縣,一期,46593.6
99,花蓮縣,二期,34878.6
99,新竹市,一期,2916.9
99,新竹市,二期,2827.4
99,臺中市,一期,5384.0
99,臺中市,二期,4037.7
99,嘉義市,一期,4995.6
99,嘉義市,二期,3311.8
99,臺南市,一期,572.2
99,臺南市,二期,1057.6
100,新北市,一期,937.0
100,新北市,二期,30.8
100,臺北市,一期,1376.5
100,臺北市,二期,632.8
100,臺中市,一期,101012.2
100,臺中市,二期,76595.3
100,臺南市,一期,100934.6
100,臺南市,二期,48728.6
100,高雄市,一期,29797.7
100,高雄市,二期,2137.4
100,宜蘭縣,一期,62416.5
100,宜蘭縣,二期,22.4
100,桃園縣,一期,40593.1
100,桃園縣,二期,17233.3
100,新竹縣,一期,23983.8
100,新竹縣,二期,17203.3
100,苗栗縣,一期,37421.5
100,苗栗縣,二期,24446.2
100,彰化縣,一期,198021.7
100,彰化縣,二期,114684.8
100,南投縣,一期,18771.2
100,南投縣,二期,13081.0
100,雲林縣,一期,226464.6
100,雲林縣,二期,82977.0
100,嘉義縣,一期,128721.0
100,嘉義縣,二期,80591.0
100,屏東縣,一期,39906.1
100,屏東縣,二期,4850.4
100,臺東縣,一期,40188.7
100,臺東縣,二期,29498.7
100,花蓮縣,一期,50861.2
100,花蓮縣,二期,36419.0
100,新竹市,一期,3939.7
100,新竹市,二期,3002.9
100,嘉義市,一期,5439.0
100,嘉義市,二期,3352.9
101,新北市,一期,814.3
101,新北市,二期,27.4
101,臺北市,一期,1270.3
101,臺北市,二期,757.9
101,臺中市,一期,93905.8
101,臺中市,二期,71862.8
101,臺南市,一期,100433.6
101,臺南市,二期,63198.4
101,高雄市,一期,31658.6
101,高雄市,二期,1922.5
101,宜蘭縣,一期,61316.3
101,宜蘭縣,二期,0.1
101,桃園縣,一期,36928.0
101,桃園縣,二期,18789.5
101,新竹縣,一期,22835.1
101,新竹縣,二期,17808.8
101,苗栗縣,一期,34952.7
101,苗栗縣,二期,26047.4
101,彰化縣,一期,195988.4
101,彰化縣,二期,135398.2
101,南投縣,一期,17661.0
101,南投縣,二期,17394.0
101,雲林縣,一期,222129.5
101,雲林縣,二期,100691.4
101,嘉義縣,一期,121424.7
101,嘉義縣,二期,87742.2
101,屏東縣,一期,42866.7
101,屏東縣,二期,3792.5
101,臺東縣,一期,38889.5
101,臺東縣,二期,33873.8
101,花蓮縣,一期,43991.5
101,花蓮縣,二期,38513.7
101,新竹市,一期,3059.2
101,新竹市,二期,2910.1
101,嘉義市,一期,5208.2
101,嘉義市,二期,4164.5
102,新北市,一期,714.7
102,新北市,二期,14.6
102,臺北市,一期,1091.4
102,臺北市,二期,602.9
102,臺中市,一期,86312.9
102,臺中市,二期,58845.1
102,臺南市,一期,85068.9
102,臺南市,二期,52001.3
102,高雄市,一期,34245.1
102,高雄市,二期,2064.9
102,宜蘭縣,一期,67944.0
102,宜蘭縣,二期,0.6
102,桃園縣,一期,43354.3
102,桃園縣,二期,17519.4
102,新竹縣,一期,25290.7
102,新竹縣,二期,16506.1
102,苗栗縣,一期,39999.2
102,苗栗縣,二期,24133.3
102,彰化縣,一期,193726.7
102,彰化縣,二期,122789.8
102,南投縣,一期,16636.0
102,南投縣,二期,14457.8
102,雲林縣,一期,202104.8
102,雲林縣,二期,91139.9
102,嘉義縣,一期,109297.7
102,嘉義縣,二期,69698.4
102,屏東縣,一期,42912.1
102,屏東縣,二期,3765.3
102,臺東縣,一期,36006.5
102,臺東縣,二期,32423.0
102,花蓮縣,一期,44512.8
102,花蓮縣,二期,40885.1
102,新竹市,一期,3025.8
102,新竹市,二期,2323.5
102,嘉義市,一期,4600.4
102,嘉義市,二期,3548.9
103,新北市,一期,799.4
103,新北市,二期,31.7
103,臺北市,一期,1207.4
103,臺北市,二期,959.8
103,臺中市,一期,85505.2
103,臺中市,二期,69263.1
103,臺南市,一期,105849.1
103,臺南市,二期,60745.7
103,高雄市,一期,32964.5
103,高雄市,二期,2729.3
103,宜蘭縣,一期,69627.9
103,桃園縣,一期,55614.2
103,桃園縣,二期,18980.4
103,新竹縣,一期,26050.8
103,新竹縣,二期,18000.5
103,苗栗縣,一期,40653.9
103,苗栗縣,二期,24996.0
103,彰化縣,一期,192438.9
103,彰化縣,二期,131379.4
103,南投縣,一期,16172.6
103,南投縣,二期,14940.2
103,雲林縣,一期,221403.2
103,雲林縣,二期,93878.6
103,嘉義縣,一期,129116.9
103,嘉義縣,二期,86493.3
103,屏東縣,一期,41675.0
103,屏東縣,二期,4980.6
103,臺東縣,一期,38127.1
103,臺東縣,二期,36653.8
103,花蓮縣,一期,51366.5
103,花蓮縣,二期,44349.8
103,新竹市,一期,3252.9
103,新竹市,二期,2526.0
103,嘉義市,一期,5260.0
103,嘉義市,二期,4216.1
104,新北市,一期,607.0
104,新北市,二期,10.1
104,臺北市,一期,1304.2
104,臺北市,二期,528.5
104,桃園市,一期,22920.9
104,桃園市,二期,14747.8
104,臺中市,一期,88052.4
104,臺中市,二期,55555.0
104,臺南市,一期,104485.2
104,臺南市,二期,49955.5
104,高雄市,一期,34242.8
104,高雄市,二期,2459.2
104,宜蘭縣,一期,74008.9
104,宜蘭縣,二期,20.4
104,新竹縣,一期,9971.5
104,新竹縣,二期,14864.4
104,苗栗縣,一期,23901.0
104,苗栗縣,二期,22562.3
104,彰化縣,一期,204657.5
104,彰化縣,二期,107964.6
104,南投縣,一期,17989.0
104,南投縣,二期,12448.0
104,雲林縣,一期,239693.8
104,雲林縣,二期,78798.8
104,嘉義縣,一期,87245.1
104,嘉義縣,二期,74527.7
104,屏東縣,一期,42923.4
104,屏東縣,二期,4969.6
104,臺東縣,一期,45363.0
104,臺東縣,二期,34921.9
104,花蓮縣,一期,56364.4
104,花蓮縣,二期,41478.0
104,新竹市,一期,1065.4
104,新竹市,二期,2376.9
104,嘉義市,一期,5259.7
104,嘉義市,二期,3488.0
105,新北市,一期,833.1
105,新北市,二期,19.6
105,臺北市,一期,1247.6
105,臺北市,二期,523.7
105,桃園市,一期,66277.9
105,桃園市,二期,11285.8
105,臺中市,一期,93527.5
105,臺中市,二期,42284.2
105,臺南市,一期,106246.6
105,臺南市,二期,38555.6
105,高雄市,一期,33669.1
105,高雄市,二期,1984.3
105,宜蘭縣,一期,69823.8
105,新竹縣,一期,25298.9
105,新竹縣,二期,15879.7
105,苗栗縣,一期,42790.0
105,苗栗縣,二期,19359.4
105,彰化縣,一期,199239.9
105,彰化縣,二期,93663.7
105,南投縣,一期,16601.0
105,南投縣,二期,11334.2
105,雲林縣,一期,224330.4
105,雲林縣,二期,76700.5
105,嘉義縣,一期,128974.3
105,嘉義縣,二期,48107.6
105,屏東縣,一期,44149.0
105,屏東縣,二期,5180.3
105,臺東縣,一期,39762.7
105,臺東縣,二期,26961.3
105,花蓮縣,一期,55308.5
105,花蓮縣,二期,34052.6
105,新竹市,一期,3799.7
105,新竹市,二期,2543.6
105,嘉義市,一期,5061.4
105,嘉義市,二期,2398.6
106,新北市,一期,758.9
106,新北市,二期,18.2
106,臺北市,一期,916.8
106,臺北市,二期,719.3
106,桃園市,一期,70874.1
106,桃園市,二期,14591.5
106,臺中市,一期,92116.4
106,臺中市,二期,55444.0
106,臺南市,一期,109809.0
106,臺南市,二期,53943.0
106,高雄市,一期,34387.0
106,高雄市,二期,1972.0
106,宜蘭縣,一期,68326.8
106,新竹縣,一期,25061.1
106,新竹縣,二期,16721.4
106,苗栗縣,一期,34739.5
106,苗栗縣,二期,25255.0
106,彰化縣,一期,211203.7
106,彰化縣,二期,117485.1
106,南投縣,一期,18039.7
106,南投縣,二期,15003.7
106,雲林縣,一期,244676.5
106,雲林縣,二期,89542.1
106,嘉義縣,一期,137033.9
106,嘉義縣,二期,84909.9
106,屏東縣,一期,43194.8
106,屏東縣,二期,6005.3
106,臺東縣,一期,41677.5
106,臺東縣,二期,32502.0
106,花蓮縣,一期,52662.3
106,花蓮縣,二期,38531.9
106,新竹市,一期,3540.5
106,新竹市,二期,2550.9
106,嘉義市,一期,5644.9
106,嘉義市,二期,4190.0
107,新北市,一期,886.1
107,新北市,二期,22.7
107,臺北市,一期,1540.6
107,臺北市,二期,729.8
107,桃園市,一期,87876.4
107,桃園市,二期,13573.8
107,臺中市,一期,105129.4
107,臺中市,二期,66028.8
107,臺南市,一期,113364.2
107,臺南市,二期,60985.5
107,高雄市,一期,36370.4
107,高雄市,二期,2015.0
107,宜蘭縣,一期,73469.6
107,新竹縣,一期,34737.2
107,新竹縣,二期,16048.6
107,苗栗縣,一期,40544.4
107,苗栗縣,二期,27531.5
107,彰化縣,一期,241263.8
107,彰化縣,二期,139971.3
107,南投縣,一期,20264.2
107,南投縣,二期,17317.0
107,雲林縣,一期,262099.5
107,雲林縣,二期,96902.6
107,嘉義縣,一期,156334.0
107,嘉義縣,二期,89872.1
107,屏東縣,一期,43081.7
